Model,k,Precision,Recall,F1,MRR,nDCG,Diversity
hybrid-cf-then-cb,1,0.34098360655737703,0.007861690021546661,0.015042155304779651,0.34098360655737703,0.34098360655737703,1.0
hybrid-cf-then-cb,3,0.3196721311475413,0.02163212891755951,0.03827723122174869,0.45355191256830635,0.32386683825493795,1.0
hybrid-cf-then-cb,5,0.3213114754098362,0.03671332844600562,0.06039116665356182,0.48396174863387953,0.32397413705524836,1.0
hybrid-cb-then-cf,1,0.26885245901639343,0.005585035113416534,0.010736900638535218,0.26885245901639343,0.26885245901639343,1.0
hybrid-cb-then-cf,3,0.1775956284153003,0.010400627782194756,0.01861681895296993,0.3193989071038251,0.19837014492446134,1.0
hybrid-cb-then-cf,5,0.13868852459016426,0.012375832408197562,0.02090751599247618,0.32948087431693984,0.16571325652582788,1.0
